image,output,flag,username,timestamp
/home/kolb/5A/IA framework/ModIA_TP1/flagged/image/tmpyl07p4wm.png,/home/kolb/5A/IA framework/ModIA_TP1/flagged/output/tmph7ygrgdr.json,,,2022-09-26 16:29:05.832013
/home/kolb/5A/IA framework/ModIA_TP1/flagged/image/tmpk9oe73nk.png,/home/kolb/5A/IA framework/ModIA_TP1/flagged/output/tmpyu7hgzlh.json,,,2022-09-26 16:29:07.166994
